Time,CH1
-0.0015,-0.0036
-0.0014960474308300395,-0.0036
-0.001492094861660079,-0.004
-0.0014881422924901185,-0.002
-0.0014841897233201582,-0.0028000000000000004
-0.0014802371541501977,-0.0016
-0.0014762845849802372,-0.026000000000000002
-0.0014723320158102767,-0.0044
-0.0014683794466403162,-0.0076
-0.0014644268774703557,-0.0076
-0.0014604743083003952,-0.0004
-0.0014565217391304347,0.0
-0.0014525691699604744,-0.0052
-0.001448616600790514,-0.0048
-0.0014446640316205534,-0.0008
-0.001440711462450593,-0.0032
-0.0014367588932806324,-0.0032
-0.001432806324110672,-0.0076
-0.0014288537549407114,-0.0016
-0.001424901185770751,-0.0028000000000000004
-0.0014209486166007906,-0.004
-0.00141699604743083,-0.0048
-0.0014130434782608696,0.005600000000000001
-0.001409090909090909,-0.005600000000000001
-0.0014051383399209486,-0.005600000000000001
-0.001401185770750988,-0.0004
-0.0013972332015810276,-0.0064
-0.0013932806324110673,-0.0016
-0.0013893280632411068,0.0012
-0.0013853754940711463,-0.008
-0.0013814229249011858,0.0028000000000000004
-0.0013774703557312253,-0.0096
-0.0013735177865612648,0.0052
-0.0013695652173913043,-0.0032
-0.0013656126482213438,0.0036
-0.0013616600790513835,0.0028000000000000004
-0.001357707509881423,0.0
-0.0013537549407114625,-0.0068000000000000005
-0.001349802371541502,0.0024
-0.0013458498023715415,-0.0036
-0.001341897233201581,-0.0044
-0.0013379446640316207,-0.002
-0.0013339920948616602,-0.0076
-0.0013300395256916997,-0.0044
-0.0013260869565217392,0.004
-0.0013221343873517787,0.0008
-0.0013181818181818182,-0.004
-0.0013142292490118577,-0.0076
-0.0013102766798418972,0.004
-0.0013063241106719367,0.0068000000000000005
-0.0013023715415019764,-0.0028000000000000004
-0.0012984189723320159,-0.0004
-0.0012944664031620554,0.0168
-0.0012905138339920949,-0.0032
-0.0012865612648221344,-0.006
-0.0012826086956521739,-0.0064
-0.0012786561264822136,-0.0144
-0.001274703557312253,-0.0068000000000000005
-0.0012707509881422926,-0.0084
-0.001266798418972332,-0.002
-0.0012628458498023716,-0.0024
-0.001258893280632411,-0.006
-0.0012549407114624505,-0.0084
-0.00125098814229249,-0.015600000000000001
-0.0012470355731225295,-0.006
-0.0012430830039525693,-0.0032
-0.0012391304347826087,-0.002
-0.0012351778656126482,-0.005600000000000001
-0.0012312252964426877,-0.0064
-0.0012272727272727272,-0.028399999999999998
-0.0012233201581027667,-0.0128
-0.0012193675889328064,-0.0016
-0.001215415019762846,-0.008
-0.0012114624505928854,-0.008
-0.001207509881422925,-0.008
-0.0012035573122529644,-0.008
-0.001199604743083004,-0.0044
-0.0011956521739130434,-0.008
-0.001191699604743083,-0.0068000000000000005
-0.0011877470355731224,-0.0036
-0.001183794466403162,-0.0064
-0.0011798418972332016,-0.0004
-0.0011758893280632411,-0.0024
-0.0011719367588932806,0.0008
-0.0011679841897233201,-0.006
-0.0011640316205533596,-0.0024
-0.0011600790513833993,-0.0084
-0.0011561264822134388,0.005600000000000001
-0.0011521739130434783,-0.0036
-0.0011482213438735178,0.0068000000000000005
-0.0011442687747035573,-0.0044
-0.0011403162055335968,-0.0012
-0.0011363636363636363,-0.0028000000000000004
-0.0011324110671936758,-0.0032
-0.0011284584980237153,-0.008
-0.0011245059288537548,-0.006
-0.0011205533596837945,-0.004
-0.001116600790513834,-0.0064
-0.0011126482213438735,-0.004
-0.001108695652173913,-0.012
-0.0011047430830039525,-0.0096
-0.0011007905138339922,-0.0068000000000000005
-0.0010968379446640317,-0.0016
-0.0010928853754940712,-0.0076
-0.0010889328063241107,-0.0036
-0.0010849802371541502,-0.0152
-0.0010810276679841897,-0.0068000000000000005
-0.0010770750988142292,-0.0064
-0.0010731225296442687,0.0108
-0.0010691699604743082,-0.0048
-0.0010652173913043477,-0.004
-0.0010612648221343874,0.0188
-0.0010573122529644269,0.0008
-0.0010533596837944664,-0.0048
-0.0010494071146245059,-0.0044
-0.0010454545454545454,0.0116
-0.001041501976284585,-0.0052
-0.0010375494071146246,0.0008
-0.001033596837944664,-0.0104
-0.0010296442687747036,-0.0036
-0.001025691699604743,0.0
-0.0010217391304347826,-0.0008
-0.001017786561264822,-0.0008
-0.0010138339920948616,-0.0012
-0.001009881422924901,-0.0048
-0.0010059288537549406,-0.0004
-0.00100197628458498,-0.0036
-0.0009980237154150198,-0.0008
-0.0009940711462450593,-0.0024
-0.0009901185770750988,-0.006
-0.0009861660079051385,-0.0032
-0.000982213438735178,0.0016
-0.0009782608695652175,0.0048
-0.0009743083003952569,-0.0024
-0.0009703557312252965,-0.0096
-0.000966403162055336,0.0032
-0.0009624505928853755,-0.002
-0.000958498023715415,-0.01
-0.0009545454545454546,0.0004
-0.000950592885375494,-0.0012
-0.0009466403162055335,-0.0092
-0.000942687747035573,-0.0004
-0.0009387351778656126,-0.0016
-0.0009347826086956521,-0.0072
-0.0009308300395256916,-0.0108
-0.0009268774703557312,-0.002
-0.0009229249011857707,-0.0032
-0.0009189723320158102,0.0048
-0.0009150197628458497,-0.002
-0.0009110671936758893,0.0
-0.0009071146245059288,0.0084
-0.0009031620553359683,-0.01
-0.0008992094861660078,-0.008
-0.0008952569169960474,-0.0028000000000000004
-0.0008913043478260869,-0.0016
-0.0008873517786561264,-0.0044
-0.0008833992094861659,-0.0044
-0.0008794466403162055,-0.0124
-0.000875494071146245,0.0152
-0.0008715415019762845,-0.0048
-0.000867588932806324,-0.0104
-0.0008636363636363636,-0.0044
-0.0008596837944664031,0.0016
-0.0008557312252964426,0.0
-0.0008517786561264822,-0.0048
-0.0008478260869565217,-0.004
-0.0008438735177865612,-0.0124
-0.0008399209486166007,-0.0072
-0.0008359683794466403,-0.0076
-0.0008320158102766798,-0.0012
-0.0008280632411067193,-0.002
-0.0008241106719367588,-0.0084
-0.0008201581027667984,-0.0064
-0.0008162055335968379,0.002
-0.0008122529644268774,0.0052
-0.0008083003952569169,-0.0088
-0.0008043478260869565,-0.008
-0.000800395256916996,-0.0048
-0.0007964426877470355,-0.0152
-0.0007924901185770751,-0.0076
-0.0007885375494071146,-0.008
-0.0007845849802371541,-0.004
-0.0007806324110671936,-0.0076
-0.0007766798418972332,0.0368
-0.0007727272727272727,-0.0008
-0.0007687747035573122,-0.0076
-0.0007648221343873517,-0.0076
-0.0007608695652173913,-0.0172
-0.0007569169960474308,-0.0068000000000000005
-0.0007529644268774703,0.0044
-0.0007490118577075098,0.0036
-0.0007450592885375494,-0.005600000000000001
-0.0007411067193675889,-0.0036
-0.0007371541501976284,-0.004
-0.000733201581027668,-0.0104
-0.0007292490118577075,-0.0064
-0.000725296442687747,-0.0028000000000000004
-0.0007213438735177865,-0.008
-0.0007173913043478261,-0.006
-0.0007134387351778656,0.0008
-0.0007094861660079051,-0.011200000000000002
-0.0007055335968379446,0.0064
-0.0007015810276679842,-0.0032
-0.0006976284584980237,-0.0028000000000000004
-0.0006936758893280632,0.0092
-0.0006897233201581027,-0.002
-0.0006857707509881423,-0.0044
-0.0006818181818181818,-0.0024
-0.0006778656126482213,-0.0128
-0.0006739130434782609,-0.0016
-0.0006699604743083004,0.0024
-0.0006660079051383399,-0.006
-0.0006620553359683794,-0.0024
-0.000658102766798419,0.0
-0.0006541501976284585,-0.0044
-0.000650197628458498,-0.0016
-0.0006462450592885374,0.0004
-0.000642292490118577,-0.0044
-0.0006383399209486165,0.0016
-0.000634387351778656,-0.0072
-0.0006304347826086955,0.0
-0.0006264822134387351,-0.0036
-0.0006225296442687746,-0.0048
-0.0006185770750988141,0.0
-0.0006146245059288537,-0.0012
-0.0006106719367588932,-0.0044
-0.0006067193675889327,-0.0032
-0.0006027667984189722,-0.0052
-0.0005988142292490118,-0.0088
-0.0005948616600790513,-0.0052
-0.0005909090909090908,-0.0072
-0.0005869565217391303,-0.0068000000000000005
-0.0005830039525691699,-0.0052
-0.0005790513833992094,0.0004
-0.0005750988142292489,-0.0052
-0.0005711462450592884,0.0016
-0.000567193675889328,-0.0016
-0.0005632411067193675,-0.0028000000000000004
-0.000559288537549407,-0.0012
-0.0005553359683794465,-0.0032
-0.0005513833992094861,-0.0084
-0.0005474308300395256,-0.0008
-0.0005434782608695651,-0.008
-0.0005395256916996047,-0.0068000000000000005
-0.0005355731225296442,-0.0004
-0.0005316205533596837,-0.0032
