T,lambda
  6.363636363636, 971.904879157149
 16.363636363636, 393.258590063723
 30.454545454545, 127.590057067954
 40.795454545455,  59.109653814905
 50.681818181818,  29.406314253987
 63.750000000000,  12.960559863802
 76.818181818182,   5.919393724285
 89.204545454545,   2.944824420635
105.227272727273,   1.325942687287
120.113636363636,   0.664356196565
137.500000000000,   0.309982112532
153.636363636364,   0.163256802818
171.136363636364,   0.087839148838
187.727272727273,   0.049325251343
205.227272727273,   0.028498810442
220.340909090909,   0.018585881691

